0,,0,0,DU,Durisols,,http://lod.nal.usda.gov/nalt/216347,"Accumulation of moderately soluble salts or non-saline substances - Accumulation of, and cementation by, secondary silica",Other soils having a petroduric or duric horizon starting ? 100 cm from the soil surface.,duric horizon,petroduric horizon,,,,,,,,,,,,,,,,,,,
0,,0,0,FR,Ferralsols,,http://lod.nal.usda.gov/nalt/216348,Soils distinguished by Fe/Al chemistry - Dominance of kaolinite and oxides,"Other soils having: 1. a ferralic horizon starting ? 150 cm from the soil surface; and 2. no argic horizon starting at the upper limit of the ferralic horizon or above the ferralic hroizon, unless the argic horizon has, in its upper 30 cm, one or more of the following: a. < 10% water-dispersible clay; or b. geric properties; or c. ? 1.4% soil organic carbon.",ferralic horizon,argic horizon,water-dispersible clay,geric properties,organic carbon,,,,,,,,,,,,,,,,
-1,,-1,-1,FL,Fluvisols,,http://lod.nal.usda.gov/nalt/216349,"Soils with little or no profile differentiation - Stratified fluviatile, marine and lacustrine sediments","Other soils having fluvic material: 1. ? 25 cm thick and starting ? 25 cm from the mineral soil surface; or 2. from the lower limit of a plough layer that is ? 40 cm thick, to a depth of ? 50 cm from the mineral soil surface.",fluvic soil material,plough layer,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,GL,Gleysols,,http://lod.nal.usda.gov/nalt/211604,"Soils distinguished by Fe/Al chemistry - Groundwater-affected, underwater and in tidal areas","Other soils having one of the following: 1. a layer ? 25 cm thick, and starting ? 40 cm from the mineral soil surface, that has a. gleyic properties throughout; and b. reducing conditions in some parts of every sublayer; or 2. both of the following: a. a mollic or umbric horizon, > 40 cm thick, that has reducing conditions in some parts of every subhorizon, from 40 cm below the mineral soil surface to the lower limit of the mollic or umbric horizon; and b. directly underneath the mollic/umbric horizon, a layer ? 10 cm thick, that has its lower limit ? 65 cm below the mineral soil surface, and that has: i. gleyic properties throughout; and ii. reducing conditions in some parts of every sublayer.",gleyic properties,mollic horizon,umbric horizon,reducing conditions,,,,,,,,,,,,,,,,,
0,,-1,-1,GY,Gypsisols,,http://lod.nal.usda.gov/nalt/216350,Accumulation of moderately soluble salts or non-saline substances - Accumulation of secondary gypsum,"Other soils having: 1. a petrogypsic horizon starting ? 100 cm from the soil surface; or 2. both of the following: a. a gypsic horizon starting ? 100 cm from the soil surface; and b. no argic horizon above the gypsic horizon unless the argic horizon is permeated with secondary gypsum or secondary carbonate, throughout.",gypsic horizon,petrogypsic horizon,gypsum,secondary carbonate,argic horizon,,,,,,,,,,,,,,,,
-1,,-1,-1,HS,Histosols,,http://lod.nal.usda.gov/nalt/40066,Soils with thick organic layers - ,"Soils having organic material: 1. starting at the soil surface and having a thickness of ? 10 cm and directly overlying: a. ice, or b. continuous rock or technic hard material, or c. coarse fragments, the interstices of which are filled with organic material; or 2. starting ? 40 cm from the soil surface and having within ? 100 cm of the soil surface a combined thickness of either: a. ? 60 cm, if ? 75% (by volume) of the material consists of moss fibres; or b. ? 40 cm in other materials.",organic material,coarse fragments,thickness,moss fibres,,,,,,,,,,,,,,,,,
-1,,-1,-1,KS,Kastanozems,,http://lod.nal.usda.gov/nalt/216351,"Pronounced accumulation of organic matter in the mineral topsoil - Dark topsoil, secondary carbonates","Other soils having: 1. a mollic horizon; and 2. a calcic horizon or a layer with protocalcic properties starting ? 50 cm below the lower limit of the mollic horizon, and if present, above a cemented or indurated layer; and 3. a base saturation (by 1 M NH4OAc, pH 7) of ? 50% from the soil surface to the calcic horizon or the layer with protocalcic properties, throughout.",mollic horizon,protocalcic properties,base saturation,calcic horizon,,,,,,,,,,,,,,,,,
-1,,-1,-1,LP,Leptosols,,http://lod.nal.usda.gov/nalt/216352,Soils with limitations to root growth - Thin or with many coarse fragments,"Other soils having: 1. one of the following: a. continuous rock or technic hard material starting ? 25 cm from the soil surface; or b. < 20% (by volume) fine earth, averaged over a depth of 75 cm from the soil surface or to continuous rock or technic hard material, whichever is shallower; and 2. no calcic, chernic, duric, gypsic, petrocalcic, petroduric, petrogypsic, petroplinthic or spodic horizon.",fine earth,calcic horizon,chernic horizon,duric horizon,gypsic horizon,petrocalcic horizon,continuous rock,technic hard material,petroduric horizon,petrogypsic horizon,petroplinthic horizon,spodic horizon,,,,,,,,,
-1,,0,-1,LX,Lixisols,,http://lod.nal.usda.gov/nalt/216355,"Soils with clay-enriched subsoil - Low-activity clays, high base status","Other soils having: 1. an argic horizon starting ? 100 cm from the soil surface; and 2. a CEC (by 1 M NH4OAc, pH 7) of < 24 cmolc kg-1 clay in some part of the the argic horizon within ? 50 cm below its upper limit.",argic horizon,cation exchange capacity,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,LV,Luvisols,,http://lod.nal.usda.gov/nalt/216356,"Soils with clay-enriched subsoil - High-activity clays, high base status",Other soils having an argic horizon starting ? 100 cm from the soil surface.,argic horizon,,,,,,,,,,,,,,,,,,,,
0,,0,-1,NT,Nitisols,,http://lod.nal.usda.gov/nalt/216357,"Soils distinguished by Fe/Al chemistry - Low-activity clay, P fixation, many Fe oxides, strongly structured","Other soils having: 1. a nitic horizon starting ? 100 cm from the soil surface; and 2. no petroplinthic, pisoplinthic, plinthic or vertic horizon starting ? 100 cm from the soil surface; and 3. no layers with reducing conditions above or within the nitic horizon.",nitic horizon,petroplinthic horizon,pisoplinthic horizon,plinthic horizon,vertic horizon,reducing conditions,,,,,,,,,,,,,,,
-1,,-1,-1,PH,Phaeozems,,http://lod.nal.usda.gov/nalt/216358,"Pronounced accumulation of organic matter in the mineral topsoil - Dark topsoil, no secondary carbonates (unless very deep), high base status","Other soils having: 1. a mollic horizon; and 2. a base saturation (by 1 M NH4OAc, pH 7) of ? 50% throughout to a depth of 100 cm from the soil surface or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower.",mollic horizon,base saturation,,,,,,,,,,,,,,,,,,,
0,,-1,-1,PL,Planosols,,http://lod.nal.usda.gov/nalt/216360,"Soils distinguished by Fe/Al chemistry - Stagnating water, abrupt textural difference","Other soils having an abrupt textural difference ? 100 cm from the mineral soil surface; and directly above or below, a layer ? 5 cm thick, that has: 1. stagnic properties in which the area of reductimorphic colours plus the area of oximorphic colours is ? 50% of the layer's total area; and 2. reducing conditions for some time during the year in the major part of the layer's volume that has the reductimorphic colours.",abrupt textural difference,stagnic properties,area of reductimorphic colours,area of oximorphic colours,reducing conditions,,,,,,,,,,,,,,,,
-1,,0,0,PT,Plinthosols,,http://lod.nal.usda.gov/nalt/216361,Soils distinguished by Fe/Al chemistry - Accumulation and redistribution of Fe,"Other soils having: 1. a plinthic, petroplinthic or pisoplinthic horizon starting ? 50 cm from the soil surface; or 2. a plinthic horizon starting ? 100 cm from the soil surface; and directly above or below its upper limit, a layer ? 10 cm thick, that has: a. stagnic properties in which the area of reductimorphic colours plus the area of oximorphic colours is ? 50% of the layer's total area; and b. reducing conditions for some time during the year in the major part of the layer's volume that has the reductimorphic colours.",petroplinthic horizon,plinthic horizon,pisoplinthic horizon,stagnic properties,area of reductimorphic colours,area of oximorphic colours,reducing conditions,,,,,,,,,,,,,,
-1,,-1,-1,PZ,Podzols,,http://lod.nal.usda.gov/nalt/216362,Soils distinguished by Fe/Al chemistry - Subsoil accumulation of humus and/or oxides,Other soils having a spodic horizon starting ? 200 cm from the mineral soil surface.,spodic horizon,eluvial horizon,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,RG,Regosols,,http://lod.nal.usda.gov/nalt/216363,Soils with little or no profile differentiation - No significant profile development,Other soils:,,,,,,,,,,,,,,,,,,,,,
0,,0,0,RT,Retisols,,,"Soils with clay-enriched subsoil - Interfingering of coarser-textured, lighter coloured material into a finer-textured, stronger coloured layer","Other soils having an argic horizon that
starts ? 100 cm from the soil surface and has
retic properties at its upper boundary.",argic horizon,retic properties,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,SC,Solonchaks,,http://lod.nal.usda.gov/nalt/216364,Soils with limitations to root growth - High concentration of soluble salts,Other soils having: 1. a salic horizon starting ? 50 cm from the soil surface; and 2. no thionic horizon starting ? 50 cm from the soil surface; and 3. not permanently submerged by water and not located below the line affected by tidal water (i.e. not located below the line of mean high water springs).,salic horizon,thionic horizon,submerged by water,tidal water,line of mean high water springs,,,,,,,,,,,,,,,,
0,,0,-1,SN,Solonetz,,http://lod.nal.usda.gov/nalt/216365,Soils with limitations to root growth - With a high content of exchangeable Na,Other soils having a natric horizon starting ? 100 cm from the soil surface.,natric horizon,,,,,,,,,,,,,,,,,,,,
-1,,0,-1,ST,Stagnosols,,http://lod.nal.usda.gov/nalt/216366,"Soils distinguished by Fe/Al chemistry - Stagnating water, structural difference and/or moderate textural difference","Other soils having a layer starting ? 25 cm from the mineral soil surface, that is ? 50 cm thick or ? 25 cm thick and directly overlies continuous rock or technic hard material and that has: 1. stagnic properties in which the area of reductimorphic colours plus the area of oximorphic colours is ? 50% of the layer's total area; and 2. reducing conditions for some time during the year in the major part of the layer's volume that has the reductimorphic colours.",stagnic properties,area of reductimorphic colours,area of oximorphic colours,reducing conditions,,,,,,,,,,,,,,,,,
0,,0,0,TC,Technosols,,http://lod.nal.usda.gov/nalt/216367,Soils with strong human influence - Containing significant amounts of artefacts,"Other soils: 1. with all of the following: a. having ? 20% (by volume, weighted average) artefacts in the upper 100 cm from the soil surface or to continuous rock or technic hard material or a cemented or indurated layer; and b. not having a layer containing artefacts that qualifies as an argic, chernic, duric, ferralic, ferric, fragic, hydragric, natric, nitic, petrocalcic, petroduric, petrogypsic, petroplinthic, pisoplinthic, plinthic, spodic or vertic horizon starting ? 100 cm from the soil surface, unless buried; and c. not having continuous rock or a cemented or indurated layer starting ? 10 cm from the soil surface; or 2. having a continuous, very slowly permeable to impermeable, constructed geomembrane of any thickness starting ? 100 cm from the soil surface; or 3. having technic hard material starting ? 5 cm from the soil surface.",artefacts,technic hard material,cemented layer,argic horizon,chernic horizon,duric horizon,ferralic horizon,ferric horizon,fragic horizon,hydragric horizon,natric horizon,nitic horizon,petrocalcic horizon,petroduric horizon,petrogypsic horizon,petroplinthic horizon,pisoplinthic horizon,plinthic horizon,spodic horizon,vertic horizon,indurated layer
-1,,-1,-1,UM,Umbrisols,,http://lod.nal.usda.gov/nalt/216368,"Pronounced accumulation of organic matter in the mineral topsoil - Dark topsoil, low base status",Other soils having an umbric or mollic or hortic horizon.,umbric horizon,mollic horizon,hortic horizon,,,,,,,,,,,,,,,,,,
-1,,-1,-1,VR,Vertisols,,http://lod.nal.usda.gov/nalt/11557,"Soils with limitations to root growth - Alternating wet-dry conditions, shrink-swell clays",Other soils having: 1. a vertic horizon starting ? 100 cm from the soil surface; and 2. ? 30% clay between the soil surface and the vertic horizon throughout; and 3. shrink-swell cracks that start: a. at the soil surface; or b. at the base of a plough layer; or c. ? 5 cm from the soil surface if there is a surface layer of strong granular structural elements ? 10 mm in size (self-mulching surface); or d. ? 3 cm from the soil surface if there is a surface crust; and extend to the vertic horizon.,vertic horizon,clay,shrink-swell cracks,structural elements,surface crust,,,,,,,,,,,,,,,,
,,,,QUALIFIERS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,ap,Abruptic,,,"(from Latin abruptus, broken away): having an abrupt textural difference within ? 100 cm of the mineral soil surface (1).",,,,,,,,,,,,,,,,,,,,,,
,,,0,go,,Geoabruptic,,"(from Greek gaia, earth): having an abrupt textural difference within ? 100 cm of the mineral soil surface that is not associated with the upper limit of an argic or natric horizon (1).",,,,,,,,,,,,,,,,,,,,,,
,,,0,ae,Aceric,,,"(from Latin acer, sharp): having within ? 100 cm of the soil surface a layer with a pH (1:1 in water) between ? 3.5 and < 5 and jarosite mottles (in Solonchaks only) (2).",,,,,,,,,,,,,,,,,,,,,,
,,,0,ac,Acric,,,"(from Latin acer, sharp): having an argic horizon starting ? 100 cm from the soil surface and having a CEC (by 1 M NH4OAc, pH 7) of < 24 cmolc kg-1 clay in some part ? 50 cm below its upper limit; and having an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of < 50% in half or more of the part between 50 and 100 cm from the mineral soil surface or in the lower half of the mineral soil above continuous rock, technic hard material or a cemented or indurated layer starting ? 100 cm from the mineral soil surface, whichever is shallower (2).",,,,,,,,,,,,,,,,,,,,,,
,,,0,ao,Acroxic,,,"(from Latin acer, sharp, and Greek oxys, sour): having within ? 100 cm of the soil surface one or more layers with a combined thickness of ? 30 cm, and with < 2 cmolc kg-1 fine earth exchangeable bases (by 1 M NH4OAc, pH 7) plus exchangeable Al (by 1 M KCl, unbuffered) (in Andosols only) (2).",,,,,,,,,,,,,,,,,,,,,,
,,,0,ay,Aeolic,,,"(from Greek aiolos, wind): having at the soil surface a layer, ? 10 cm thick, the material of which is deposited by wind and has < 0.6% soil organic carbon (2: Ano- and Panto- only).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,ab,Albic,,,"(from Latin albus, white): having a layer of albic material ? 1 cm thick, and starting ? 100 cm from the mineral soil surface, that does not consist of tephric material, does not contain carbonates, and does not contain gypsum; and that overlies a diagnostic horizon or forms part of a layer with stagnic properties (2).",albic material,stagnic properties,,,,,,,,,,,,,,,,,,,,
,,,0,ax,Alcalic,,,"(from Arabic al-qali, salt-containing ash): having: � a pH (1:1 in water) of ? 8.5 throughout within ? 50 cm of the mineral soil surface, or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower, and � an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of ? 50%: * in the major part between 20 and 100 cm from the mineral soil surface or * in the major part between 20 cm and continuous rock, technic hard material or a cemented or indurated layer starting > 25 cm from the mineral soil surface, or * in a layer ? 5 cm thick, directly above continuous rock, technic hard material or a cemented or indurated layer starting ? 25 cm from the mineral soil surface.",,,,,,,,,,,,,,,,,,,,,,
,,,0,al,Alic,,,"(from Latin alumen, alum): having an argic horizon starting ? 100 cm from the soil surface and having a CEC (by 1 M NH4OAc, pH 7) of ? 24 cmolc kg-1 clay throughout or to a depth of 50 cm of its upper limit, whichever is thinner; and having an effective base saturation [exchangeable(Ca + Mg + K + Na) / exchangeable(Ca + Mg + K + Na + Al); exchangeable bases by 1 M NH4OAc (pH 7), exchangeable Al by 1 M KCl (unbuffered)] of < 50% in half or more of the part between 50 and 100 cm from the mineral soil surface or in the lower half of the mineral soil above continuous rock, technic hard material or a cemented or indurated layer starting ? 100 cm from the mineral soil surface, whichever is shallower (2).",,,,,,,,,,,,,,,,,,,,,,
,,,0,jl,,Hyperalic,,"(from Greek hyper, over, and Latin alumen, alum): having an argic horizon, starting ? 100 cm from the soil surface, that has a silt to clay ratio of < 0.6 and an Al saturation (effective) of ? 50%, throughout or to a depth of 50 cm below its upper limit, whichever is thinner (in Alisols only).",,,,,,,,,,,,,,,,,,,,,,
,,,0,aa,Aluandic,,,"(from Latin alumen, alum, and Japanese an, dark, and do, soil): having within ? 100 cm of the soil surface one or more layers with a combined thickness of ? 15 cm with andic properties and a Siox content of < 0.6% and an Alpy/Alox of ? 0.5 (in Andosols only) (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,0,an,Andic,,,"(from Japanese an, dark, and do, soil): having within ? 100 cm of the soil surface one or more layers with andic or vitric properties with a combined thickness of ? 30 cm (in Cambisols ? 15 cm), of which ? 15 cm (in Cambisols ? 7.5 cm) have andic properties (2).",andic properties ,vitric properties ,,,,,,,,,,,,,,,,,,,,
,,,0,qa,,Protoandic,,"(from Greek protou, before): having within ? 100 cm of the soil surface one or more layers with a combined thickness of ? 15 cm, and with an Alox + �Feox value of ? 1.2%, a bulk density23 of ? 1 kg dm-3 and a phosphate retention of ? 55%; and not fulfilling the set of criteria of the Andic qualifier (2).",,,,,,,,,,,,,,,,,,,,,,
,,,0,aq,Anthraquic,,,"(from Greek anthropos, human being, and Latin aqua, water): having an anthraquic horizon and no hydragric horizon.",,,,,,,,,,,,,,,,,,,,,,
,,,0,ak,Anthric,,,"(from Greek anthropos, human being): having anthric properties.",,,,,,,,,,,,,,,,,,,,,,
-1,,,0,ah,Archaic,,,"(from Greek archae, beginning): having a layer ? 20 cm thick, within ? 100 cm of the soil surface, with ? 20% (by volume, weighted average) artefacts containing ? 50% (by volume) artefacts produced by pre-industrial processes, e.g. ceramics, showing traces of production by hand, ceramics that can easily be broken or ceramics containing sand (in Technosols only) (2).",artefacts,,,,,,,,,,,,,,,,,,,,,
-1,,,0,ai,Aric,,,"(from Latin arare, to plough): being ploughed to a depth of ? 20 cm from the soil surface (2: Ano- and Panto- only).",plough,,,,,,,,,,,,,,,,,,,,,
-1,,,-1,ar,Arenic,,,"(from Latin arena, sand): having a texture class of sand or loamy sand in a layer ? 30 cm thick, within ? 100 cm of the mineral soil surface or in the major part between the mineral soil surface and continuous rock, technic hard material or a cemented or indurated layer starting < 60 cm from the mineral soil surface starting < 60 cm from the mineral soil surface (2; no subqualifier if continuous rock or technic hard material starts < 60 cm from the mineral soil surface).",texture,,,,,,,,,,,,,,,,,,,,,
-1,,,,ad,Aridic,,,"(from Latin aridus, dry): having aridic properties without takyric or yermic properties.",aridic properties,takyric properties,yermic properties,,,,,,,,,,,,,,,,,,,
,,,,qd,,Protoaridic,,"(from Greek protou, before): having a mineral topsoil layer ? 5 cm thick, with a Munsell colour value, dry, of ? 5 that turns darker on moistening; < 0.4% soil organic carbon, a platy structure in ? 50% of the volume, a surface crust; and not having aridic properties.",,,,,,,,,,,,,,,,,,,,,,
,,,,az,Arzic,,,"(from Turkish arz, land or earth�s crust): having sulfate-rich groundwater in some layer within ? 50 cm of the soil surface during some time in most years and containing ? 15% (by volume) gypsum averaged over a depth of 100 cm from the soil surface or to continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower (in Gypsisols only).",,,,,,,,,,,,,,,,,,,,,,
0,,-1,0,br,Brunic,,,"(from Low German brun, brown): having a layer ? 15 cm thick, and starting ? 50 cm from the soil surface, that meets diagnostic criteria 2�4 of the cambic horizon but fails diagnostic criterion 1, and does not consist of albic material.",cambic horizon,albic material,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,ca,Calcaric,,,"(from Latin calcarius, containing lime): having calcaric material throughout between 20 and 100 cm from the soil surface, or between 20 cm and continuous rock, technic hard material or a cemented or indurated layer, whichever is shallower; and not having a calcic or a petrocalcic horizon starting ? 100 cm from the soil surface (4).",calcaric material,calcic horizon,petrocalcic horizon,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,cc,Calcic,,,"(from Latin calx, lime): having a calcic horizon starting ? 100 cm from the soil surface (2).",calcic horizon,,,,,,,,,,,,,,,,,,,,,
,,,,jc,Hypercalcic,,,"(from Greek hyper, over): having a calcic horizon with a calcium carbonate equivalent in the fine earth fraction of ? 50% (by mass) and starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,wc,Hypocalcic,,,"(from Greek hypo, under): having a calcic horizon with a calcium carbonate equivalent in the fine earth fraction of < 25% (by mass) and starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,qc,Protocalcic,,,"(from Greek protou, before): having a layer with protocalcic
properties starting ? 100 cm from the soil surface and not having a calcic or
petrocalcic horizon starting ? 100 cm from the soil surface (2).",,,,,,,,,,,,,,,,,,,,,,
-1,,,,cm,Cambic,,,"(from Late Latin cambiare, to change): having a cambic horizon not consisting of albic material and starting ? 50 cm from the soil surface.",cambic horizon,albic material,,,,,,,,,,,,,,,,,,,,
,,,,nc,,Neocambic,,"(from Greek neos, new): having a cambic horizon, not consisting of albic material, starting ? 50 cm from the soil surface and overlying: � albic material that overlies an argic, a natric or a spodic horizon, or � a layer with retic properties.",,,,,,,,,,,,,,,,,,,,,,
,,,,cp,Capillaric,,,"(from Latin capillus, hair): having a layer ? 25 cm thick that has so few macropores that water saturation of capillary pores causes reducing conditions (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,cb,Carbic,,,"(from Latin carbo, coal): having a spodic horizon that does not turn redder on ignition throughout (in Podzols only).",,,,,,,,,,,,,,,,,,,,,,
,,,,cn,Carbonatic,,,"(from Latin carbo, coal): having a salic horizon with a soil solution (1:1 in water) with a pH of ? 8.5 and [HCO3 - ] > [SO4 2-] > 2*[Cl- ] (in Solonchaks only).",,,,,,,,,,,,,,,,,,,,,,
,,,,cx,Carbonic,,,"(from Latin carbo, coal): having a layer ? 10 cm thick, and starting ? 100 cm from the soil surface, with ? 20% (by mass) organic carbon that meets the diagnostic criteria of artefacts (2).",,,,,,,,,,,,,,,,,,,,,,
,,,,ch,Chernic,,,"(from Russian chorniy, black): having a chernic horizon (2: Ano- and Panto- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,tc,,Tonguichernic,,(from English tongue): having a chernic horizon that tongues into an underlying layer (2: Ano- and Panto- only).,,,,,,,,,,,,,,,,,,,,,,
,,,,cl,Chloridic,,,"(from Greek chloros, yellow-green): having a salic horizon with a soil solution (1:1 in water) with [Cl- ] > 2*[SO4 2-] > 2*[HCO3 - ] (in Solonchaks only).",,,,,,,,,,,,,,,,,,,,,,
-1,,-1,-1,cr,Chromic,,,"(from Greek chroma, colour): having between 25 and 150 cm of the soil surface a layer, ? 30 cm thick, that has, in ? 90% of its exposed area, a Munsell colour hue redder than 7.5YR and a chroma of > 4, both moist (2: except Epi-).",Munsell colour hue,Munsell colour chroma,,,,,,,,,,,,,,,,,,,,
0,,,-1,ce,Clayic,,,"(from English clay): having a texture class of clay, sandy clay or silty clay, in a layer ? 30 cm thick, within ? 100 cm of the mineral soil surface or in the major part between the mineral soil surface and continuous rock, technic hard material or a cemented or indurated layer starting < 60 cm from the mineral soil surface (2; no subqualifier if continuous rock or technic hard material starts < 60 cm from the mineral soil surface).",texture,,,,,,,,,,,,,,,,,,,,,
,,,,co,Colluvic,,,"(from Latin colluvio, mixture): having colluvic material ? 20 cm thick, and starting at the mineral soil surface (2: Ano- and Panto- only).",,,,,,,,,,,,,,,,,,,,,,
,,,,cu,Columnic,,,"(from Latin columna, column): having a layer ? 15 cm thick, and starting ? 100 cm from the soil surface, that has a columnar structure (2).",,,,,,,,,,,,,,,,,,,,,,
